# Version: ICTV_Master_Species_List_2022_MSL38_v3 (website: https://ictv.global/msl)
Sort	Realm	Subrealm	Kingdom	Subkingdom	Phylum	Subphylum	Class	Subclass	Order	Suborder	Family	Subfamily	Genus	Subgenus	Species	Genome Composition	Last Change	MSL of Last Change	Proposal for Last Change 	Taxon History URL
6165	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Togaviridae		Alphavirus		Eilat virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205089
6166	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Togaviridae		Alphavirus		Everglades virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205090
6167	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Togaviridae		Alphavirus		Fort Morgan virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205091
6168	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Togaviridae		Alphavirus		Getah virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205092
6169	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Togaviridae		Alphavirus		Highlands J virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205093
6170	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Togaviridae		Alphavirus		Madariaga virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205094
6171	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Togaviridae		Alphavirus		Mayaro virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205095
6172	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Togaviridae		Alphavirus		Middelburg virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205096
6173	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Togaviridae		Alphavirus		Mosso das Pedras virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205097
6174	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Togaviridae		Alphavirus		Mucambo virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205098
6175	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Togaviridae		Alphavirus		Ndumu virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205099
6176	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Togaviridae		Alphavirus		Onyong-nyong virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205100
6177	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Togaviridae		Alphavirus		Pixuna virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205101
6178	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Togaviridae		Alphavirus		Rio Negro virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205102
6179	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Togaviridae		Alphavirus		Ross River virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205103
6180	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Togaviridae		Alphavirus		Salmon pancreas disease virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205104
6181	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Togaviridae		Alphavirus		Semliki Forest virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205105
6182	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Togaviridae		Alphavirus		Sindbis virus	ssRNA(+)	Removed as Type Species,	36	2020.001G.R.Abolish_type_species.pdf	ictv.global=202205106
6183	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Togaviridae		Alphavirus		Southern elephant seal virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205107
6184	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Togaviridae		Alphavirus		Tonate virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205108
6185	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Togaviridae		Alphavirus		Trocara virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205109
6186	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Togaviridae		Alphavirus		Una virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205110
6187	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Togaviridae		Alphavirus		Venezuelan equine encephalitis virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205111
6188	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Togaviridae		Alphavirus		Western equine encephalitis virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205112
6189	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Togaviridae		Alphavirus		Whataroa virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205113
6190	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Virgaviridae		Furovirus		Chinese wheat mosaic virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205397
6191	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Virgaviridae		Furovirus		Japanese soil-borne wheat mosaic virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205398
6192	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Virgaviridae		Furovirus		Oat golden stripe virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205399
6193	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Virgaviridae		Furovirus		Soil-borne cereal mosaic virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205400
6194	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Virgaviridae		Furovirus		Soil-borne wheat mosaic virus	ssRNA(+)	Removed as Type Species,	36	2020.001G.R.Abolish_type_species.pdf	ictv.global=202205401
6195	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Virgaviridae		Furovirus		Sorghum chlorotic spot virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205402
6196	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Virgaviridae		Goravirus		Drakaea virus A	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205404
6197	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Virgaviridae		Goravirus		Gentian ovary ringspot virus	ssRNA(+)	Removed as Type Species,	36	2020.001G.R.Abolish_type_species.pdf	ictv.global=202205405
6198	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Virgaviridae		Hordeivirus		Anthoxanthum latent blanching virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205407
6199	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Virgaviridae		Hordeivirus		Barley stripe mosaic virus	ssRNA(+)	Removed as Type Species,	36	2020.001G.R.Abolish_type_species.pdf	ictv.global=202205408
6200	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Virgaviridae		Hordeivirus		Lychnis ringspot virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205409
6201	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Virgaviridae		Hordeivirus		Poa semilatent virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205410
6202	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Virgaviridae		Pecluvirus		Indian peanut clump virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205412
6203	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Virgaviridae		Pecluvirus		Peanut clump virus	ssRNA(+)	Removed as Type Species,	36	2020.001G.R.Abolish_type_species.pdf	ictv.global=202205413
6204	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Virgaviridae		Pomovirus		Beet soil-borne virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205415
6205	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Virgaviridae		Pomovirus		Beet virus Q	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205416
6206	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Virgaviridae		Pomovirus		Broad bean necrosis virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205417
6207	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Virgaviridae		Pomovirus		Colombian potato soil-borne virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205418
6208	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Virgaviridae		Pomovirus		Potato mop-top virus	ssRNA(+)	Removed as Type Species,	36	2020.001G.R.Abolish_type_species.pdf	ictv.global=202205419
6209	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Virgaviridae		Tobamovirus		Bell pepper mottle virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205421
6210	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Virgaviridae		Tobamovirus		Brugmansia mild mottle virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205422
6211	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Virgaviridae		Tobamovirus		Cactus mild mottle virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205423
6212	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Virgaviridae		Tobamovirus		Clitoria yellow mottle virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205424
6213	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Virgaviridae		Tobamovirus		Cucumber fruit mottle mosaic virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205425
6214	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Virgaviridae		Tobamovirus		Cucumber green mottle mosaic virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205426
6215	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Virgaviridae		Tobamovirus		Cucumber mottle virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205427
6216	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Virgaviridae		Tobamovirus		Frangipani mosaic virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205428
6217	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Virgaviridae		Tobamovirus		Hibiscus latent Fort Pierce virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205429
6218	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Virgaviridae		Tobamovirus		Hibiscus latent Singapore virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205430
6219	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Virgaviridae		Tobamovirus		Kyuri green mottle mosaic virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205431
6220	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Virgaviridae		Tobamovirus		Maracuja mosaic virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205432
6221	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Virgaviridae		Tobamovirus		Obuda pepper virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205433
6222	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Virgaviridae		Tobamovirus		Odontoglossum ringspot virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205434
6223	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Virgaviridae		Tobamovirus		Opuntia chlorotic ringspot virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205442
6224	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Virgaviridae		Tobamovirus		Paprika mild mottle virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205435
6225	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Virgaviridae		Tobamovirus		Passion fruit mosaic virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205436
6226	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Virgaviridae		Tobamovirus		Pepper mild mottle virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205437
6227	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Virgaviridae		Tobamovirus		Plumeria mosaic virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205438
6228	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Virgaviridae		Tobamovirus		Rattail cactus necrosis-associated virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205439
6229	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Virgaviridae		Tobamovirus		Rehmannia mosaic virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205440
6230	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Virgaviridae		Tobamovirus		Ribgrass mosaic virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205441
6231	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Virgaviridae		Tobamovirus		Streptocarpus flower break virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205443
6232	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Virgaviridae		Tobamovirus		Sunn-hemp mosaic virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205444
6233	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Virgaviridae		Tobamovirus		Tobacco latent virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205445
6234	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Virgaviridae		Tobamovirus		Tobacco mild green mosaic virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205446
6235	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Virgaviridae		Tobamovirus		Tobacco mosaic virus	ssRNA(+)	Removed as Type Species,	36	2020.001G.R.Abolish_type_species.pdf	ictv.global=202205447
6236	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Virgaviridae		Tobamovirus		Tomato brown rugose fruit virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205448
6237	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Virgaviridae		Tobamovirus		Tomato mosaic virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205449
6238	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Virgaviridae		Tobamovirus		Tomato mottle mosaic virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205450
6239	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Virgaviridae		Tobamovirus		Tropical soda apple mosaic virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205451
6240	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Virgaviridae		Tobamovirus		Turnip vein-clearing virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205452
6241	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Virgaviridae		Tobamovirus		Ullucus mild mottle virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205453
6242	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Virgaviridae		Tobamovirus		Wasabi mottle virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205454
6243	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Virgaviridae		Tobamovirus		Yellow tailflower mild mottle virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205455
6244	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Virgaviridae		Tobamovirus		Youcai mosaic virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205456
6245	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Virgaviridae		Tobamovirus		Zucchini green mottle mosaic virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205457
6246	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Virgaviridae		Tobravirus		Pea early-browning virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205459
6247	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Virgaviridae		Tobravirus		Pepper ringspot virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205460
6248	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Martellivirales		Virgaviridae		Tobravirus		Tobacco rattle virus	ssRNA(+)	Removed as Type Species,	36	2020.001G.R.Abolish_type_species.pdf	ictv.global=202205461
6249	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Allexivirus	Acarallexivirus	Garlic virus A	ssRNA(+)	Moved,	36	2020.031P.R.Alphaflexiviridae_ab1gen_2nsg.zip	ictv.global=202202176
6250	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Allexivirus	Acarallexivirus	Garlic virus B	ssRNA(+)	Moved,	36	2020.031P.R.Alphaflexiviridae_ab1gen_2nsg.zip	ictv.global=202202177
6251	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Allexivirus	Acarallexivirus	Garlic virus C	ssRNA(+)	Moved,	36	2020.031P.R.Alphaflexiviridae_ab1gen_2nsg.zip	ictv.global=202202178
6252	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Allexivirus	Acarallexivirus	Garlic virus D	ssRNA(+)	Moved,	36	2020.031P.R.Alphaflexiviridae_ab1gen_2nsg.zip	ictv.global=202202179
6253	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Allexivirus	Acarallexivirus	Garlic virus E	ssRNA(+)	Moved,	36	2020.031P.R.Alphaflexiviridae_ab1gen_2nsg.zip	ictv.global=202202180
6254	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Allexivirus	Acarallexivirus	Garlic virus X	ssRNA(+)	Moved,	36	2020.031P.R.Alphaflexiviridae_ab1gen_2nsg.zip	ictv.global=202202181
6255	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Allexivirus	Acarallexivirus	Shallot virus X	ssRNA(+)	Moved,Removed as Type Species,	36	2020.031P.R.Alphaflexiviridae_ab1gen_2nsg.zip;2020.001G.R.Abolish_type_species.pdf	ictv.global=202202182
6256	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Allexivirus		Alfalfa virus S	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205631
6257	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Allexivirus		Arachis pintoi virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205632
6258	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Allexivirus		Blackberry virus E	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202202231
6259	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Allexivirus		Garlic mite-borne filamentous virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202202175
6260	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Allexivirus		Senna severe yellow mosaic virus	ssRNA(+)	New,	36	2020.029P.R.Alphaflexiviridae_9nsp.zip	ictv.global=202209851
6261	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Allexivirus		Vanilla latent virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202205633
6262	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Botrexvirus		Botrytis virus X	ssRNA(+)	Removed as Type Species,	36	2020.001G.R.Abolish_type_species.pdf	ictv.global=202202184
6263	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Lolavirus		Lolium latent virus	ssRNA(+)	Removed as Type Species,	36	2020.001G.R.Abolish_type_species.pdf	ictv.global=202202186
6264	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Platypuvirus		Donkey orchid symptomless virus	ssRNA(+)	Removed as Type Species,	36	2020.001G.R.Abolish_type_species.pdf	ictv.global=202202191
6265	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Potexvirus	Mandarivirus	Citrus yellow mottle-associated virus	ssRNA(+)	New,	36	2020.032P.R.Mandarivirus_1nsp.zip	ictv.global=202209865
6266	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Potexvirus	Mandarivirus	Citrus yellow vein clearing virus	ssRNA(+)	Moved,	36	2020.031P.R.Alphaflexiviridae_ab1gen_2nsg.zip	ictv.global=202202188
6267	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Potexvirus	Mandarivirus	Indian citrus ringspot virus	ssRNA(+)	Moved,Removed as Type Species,	36	2020.001G.R.Abolish_type_species.pdf	ictv.global=202202189
6268	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Potexvirus		Allium virus X	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202202193
6269	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Potexvirus		Alstroemeria virus X	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202202194
6270	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Potexvirus		Alternanthera mosaic virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202202195
6271	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Potexvirus		Ambrosia asymptomatic virus 1	ssRNA(+)	New,	36	2020.029P.R.Alphaflexiviridae_9nsp.zip	ictv.global=202209843
6272	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Potexvirus		Asparagus virus 3	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202202196
6273	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Potexvirus		Babaco mosaic virus	ssRNA(+)	New,	36	2020.029P.R.Alphaflexiviridae_9nsp.zip	ictv.global=202209847
6274	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Potexvirus		Bamboo mosaic virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202202197
6275	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Potexvirus		Cactus virus X	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202202198
6276	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Potexvirus		Cassava Colombian symptomless virus	ssRNA(+)	New,	36	2020.029P.R.Alphaflexiviridae_9nsp.zip	ictv.global=202209844
6277	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Potexvirus		Cassava common mosaic virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202202199
6278	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Potexvirus		Cassava virus X	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202202200
6279	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Potexvirus		Clover yellow mosaic virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202202201
6280	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Potexvirus		Cnidium virus X	ssRNA(+)	New,	36	2020.029P.R.Alphaflexiviridae_9nsp.zip	ictv.global=202209850
6281	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Potexvirus		Cymbidium mosaic virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202202202
6282	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Potexvirus		Euonymus yellow mottle associated virus	ssRNA(+)	New,	36	2020.029P.R.Alphaflexiviridae_9nsp.zip	ictv.global=202209845
6283	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Potexvirus		Euonymus yellow vein virus	ssRNA(+)	New,	36	2020.029P.R.Alphaflexiviridae_9nsp.zip	ictv.global=202209846
6284	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Potexvirus		Foxtail mosaic virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202202203
6285	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Potexvirus		Hosta virus X	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202202204
6286	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Potexvirus		Hydrangea ringspot virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202202205
6287	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Potexvirus		Lagenaria mild mosaic virus	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202202206
6288	Riboviria		Orthornavirae		Kitrinoviricota		Alsuviricetes		Tymovirales		Alphaflexiviridae		Potexvirus		Lettuce virus X	ssRNA(+)	Moved,	35	2019.006G.zip	ictv.global=202202207
