#VOG	Function	Taxonomy (LCA)
VOG05936	sp|Q5UQD8|YR463_MIMIV Uncharacterized protein R463	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05937	sp|Q5UQC7|YL462_MIMIV Uncharacterized protein L462	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05939	sp|Q5UQD0|YR459_MIMIV Uncharacterized protein R459	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05940	sp|Q5UQP8|YL454_MIMIV Uncharacterized protein L454	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;NA;NA
VOG05941	sp|Q5UQQ0|YL452_MIMIV Uncharacterized protein L452	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05942	sp|Q5UQN8|YL438_MIMIV Putative TLC domain-containing protein L438	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05943	sp|Q5UQM4|YR431_MIMIV Putative 3'-5' exonuclease R431	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05945	sp|Q5UQP7|YR455_MIMIV Uncharacterized protein R455	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05946	sp|Q5UQP0|YL448_MIMIV Uncharacterized protein L448	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05947	sp|Q5UQN6|YL442_MIMIV Uncharacterized protein L442	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05948	sp|Q5UQN7|CAPS3_MIMIV Probable capsid protein 3	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05949	sp|Q5UQN1|YR435_MIMIV Uncharacterized protein R435	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;NA;NA
VOG05950	sp|Q5UQN4|YL432_MIMIV Uncharacterized protein L432	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05951	sp|Q5UQX5|YR883_MIMIV Uncharacterized protein R883	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05952	sp|Q5UQM2|ROBIN_MIMIV Robin	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05953	sp|Q944L7|SLP2_ARATH Shewanella-like protein phosphatase 2	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05956	sp|Q5UQL5|YL416_MIMIV Uncharacterized protein L416	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05957	sp|Q5UQK8|YL412_MIMIV Uncharacterized protein L412	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05958	sp|Q5UQK0|YR408_MIMIV Uncharacterized protein R408	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05959	sp|Q5UQK1|YR407_MIMIV Putative RNA methyltransferase R407	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05960	sp|Q5UQK3|YR405_MIMIV Putative RNA methyltransferase R405	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05961	sp|Q5UQK5|YR403_MIMIV Uncharacterized protein R403	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;NA;NA
VOG05962	sp|Q5UQK6|YR402_MIMIV Uncharacterized protein R402	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05963	sp|Q5UQJ5|YR401_MIMIV Uncharacterized protein R401	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05965	sp|Q5UQW6|YR387_MIMIV Uncharacterized protein R387	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05966	sp|Q5UQW9|YL384_MIMIV Uncharacterized protein L384	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05967	sp|Q5UQX2|YL381_MIMIV Uncharacterized protein L381	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05968	sp|Q5UQV8|YR379_MIMIV Uncharacterized protein R379	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05969	sp|Q5UQV9|YR378_MIMIV Uncharacterized protein R378	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;NA;NA
VOG05970	sp|Q5UQW3|YL374_MIMIV Uncharacterized protein L374	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05971	sp|Q5UQV4|YR370_MIMIV Uncharacterized protein R370	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05972	sp|Q5UQV5|YR369_MIMIV Uncharacterized protein R369	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05973	sp|Q5UQV7|YR367_MIMIV Uncharacterized protein R367	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05974	sp|Q5UR23|YL361_MIMIV Uncharacterized protein L361	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05975	sp|Q5UQU5|YL360_MIMIV Uncharacterized protein L360	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05976	sp|Q5UQU8|YL357_MIMIV Uncharacterized protein L357	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05977	sp|Q5UQU9|YL356_MIMIV Uncharacterized protein L356	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05978	sp|Q5UQT9|YR353_MIMIV Uncharacterized protein R353	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05979	sp|Q5UQU0|YL352_MIMIV Uncharacterized protein L352	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05980	sp|Q5UQU3|YR349_MIMIV Uncharacterized protein R349	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05981	sp|Q5UQU4|YR348_MIMIV Uncharacterized protein R348	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05982	sp|Q5UQT3|YR347_MIMIV Uncharacterized protein R347	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05983	sp|Q5UQT5|YR345_MIMIV Uncharacterized protein R345	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05984	sp|Q5UQT8|YR342_MIMIV Uncharacterized protein R342	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05985	sp|Q5UQS9|YR338_MIMIV Uncharacterized protein R338	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05988	sp|Q5UQS2|YR331_MIMIV Putative zinc finger MYND domain-containing protein R331	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05989	sp|Q5UQS3|YL330_MIMIV Uncharacterized protein L330	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05990	sp|Q5UQS4|YR329_MIMIV Uncharacterized protein R329	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05992	sp|Q5UQS5|YR328_MIMIV Uncharacterized protein R328	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05994	sp|Q5UQR1|YR321_MIMIV Uncharacterized protein R321	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05996	sp|Q5UPZ8|YR317_MIMIV Uncharacterized protein R317	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05997	sp|Q5UPZ3|YR311_MIMIV Putative RING finger protein R311	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;NA;NA
VOG05998	sp|Q5UPZ4|YL310_MIMIV Uncharacterized protein L310	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG05999	sp|Q5UPZ5|YL309_MIMIV Uncharacterized protein L309	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG06000	sp|Q5UPY8|YR305_MIMIV Uncharacterized protein R305	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG06001	sp|Q5UPY9|YR304_MIMIV Uncharacterized protein R304	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG06002	sp|Q5UPZ2|YR301_MIMIV Putative serine/threonine-protein kinase R301	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;NA;NA
VOG06004	sp|Q5UPY0|YL294_MIMIV Uncharacterized protein L294	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG06005	sp|Q5UPW8|YR292_MIMIV Uncharacterized protein R292	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG06006	sp|Q5UQ82|YR513_MIMIV Uncharacterized protein R513	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG06007	sp|Q5UQ81|YR514_MIMIV Uncharacterized protein R514	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG06009	sp|Q5UQ89|YL520_MIMIV Putative BTB/POZ domain-containing protein L520	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG06010	sp|Q5UQ86|RHBDL_MIMIV Putative rhomboid protein L523	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG06011	sp|Q5UQ84|YR525_MIMIV Uncharacterized protein R525	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG06012	sp|Q5UQA3|YL533_MIMIV Uncharacterized protein L533	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG06015	sp|Q5UQA0|YL536_MIMIV Uncharacterized protein L536	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG06016	sp|Q5UQ97|YL539_MIMIV Uncharacterized protein L539	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG06017	sp|Q5UQA4|YR545_MIMIV HMG box-containing protein R545	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG06019	sp|Q5UR28|YR549_MIMIV Uncharacterized protein R549	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG06020	sp|Q5UR36|YL552_MIMIV Uncharacterized protein L552	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG06021	sp|Q5UR35|YR553_MIMIV Uncharacterized protein R553	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG06022	sp|Q5UR34|YR554_MIMIV Uncharacterized protein R554	Varidnaviria;Bamfordvirae;Nucleocytoviricota;NA;NA;NA
VOG06024	sp|Q5UR38|YR558_MIMIV Uncharacterized protein R558	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG06025	sp|Q5UR41|YR561_MIMIV Uncharacterized protein R561	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG06026	sp|P00965|GLNA3_PHAVU Glutamine synthetase N-1	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG06027	sp|Q5UP48|YL590_MIMIV Uncharacterized protein L590	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG06029	sp|Q5UP70|YL606_MIMIV Uncharacterized protein L606	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG06030	sp|Q5UP69|YR607_MIMIV Uncharacterized protein R607	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG06031	sp|Q5UR43|YR562_MIMIV Uncharacterized protein R562	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG06032	sp|Q5UR47|YR570_MIMIV Uncharacterized protein R570	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG06033	sp|Q5UR55|YL581_MIMIV Uncharacterized protein L581	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG06034	sp|Q5UR54|YL582_MIMIV Uncharacterized protein L582	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG06035	sp|Q5UP53|YL585_MIMIV Uncharacterized protein L585	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG06037	sp|Q5UP59|YL591_MIMIV Uncharacterized protein L591	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG06038	sp|Q5UP56|YL594_MIMIV Uncharacterized protein L594	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG06040	sp|Q5UP72|YR604_MIMIV Uncharacterized protein R604	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG06042	sp|Q5UP67|YL609_MIMIV Uncharacterized protein L609	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG06043	sp|Q7T6X1|YR610_MIMIV Uncharacterized protein R610	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG06044	sp|Q5UR69|YL615_MIMIV Putative phosphatidylinositol kinase L615	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG06045	sp|Q5UR66|YR618_MIMIV Uncharacterized protein R618	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG06046	sp|Q5UR71|YR625_MIMIV Uncharacterized protein R625	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG06047	sp|Q5UR70|YR626_MIMIV Uncharacterized protein R626	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG06049	sp|Q5UR68|YR616_MIMIV Uncharacterized protein R616	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG06050	sp|Q5UR65|YL620_MIMIV Uncharacterized protein L620	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;NA;NA
VOG06051	sp|Q5UR73|YR623_MIMIV Uncharacterized protein R623	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG06052	sp|Q5UP00|YR752_MIMIV Uncharacterized protein R752	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG06053	sp|Q5UR75|YR627_MIMIV Uncharacterized protein R627	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG06054	sp|Q5UR80|CYB5L_MIMIV Cytochrome b5-like protein	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG06055	sp|Q5UR79|YL629_MIMIV Uncharacterized protein L629	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG06056	sp|Q5UR81|YL633_MIMIV Putative lectin L633	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG06057	sp|Q5UR10|YL647_MIMIV Uncharacterized protein L647	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG06058	sp|A9CH39|PHRB_AGRFC (6-4) photolyase	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG06059	sp|Q5UR07|YR650_MIMIV Uncharacterized protein R650	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG06060	sp|Q5UQ64|YR653_MIMIV Uncharacterized protein R653	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG06062	sp|Q5UR78|YL630_MIMIV Uncharacterized protein L630	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG06063	sp|Q5UR76|YR632_MIMIV Uncharacterized protein R632	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG06064	sp|Q5UR19|YR656_MIMIV Uncharacterized protein R656	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG06065	sp|Q5UR17|YR658_MIMIV Uncharacterized protein R658	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG06069	sp|Q5UPB7|YR044_MIMIV Uncharacterized protein R44	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG06070	sp|O17966|TOP1_CAEEL DNA topoisomerase 1	Varidnaviria;Bamfordvirae;Nucleocytoviricota;NA;NA;NA
VOG06072	sp|Q5UPM6|YR156_MIMIV Uncharacterized protein R156	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG06075	sp|Q5UPN1|YL169_MIMIV Uncharacterized protein L169	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG06076	sp|Q5UPQ1|YR762_MIMIV Uncharacterized protein R762	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG06077	sp|Q5UPJ4|YL115_MIMIV Putative helicase L115	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG06078	sp|Q5UNS8|YR665_MIMIV Uncharacterized protein R665	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG06079	sp|Q5URB6|YR843_MIMIV Uncharacterized hydrolase R843	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG06080	sp|Q5UR60|YR802_MIMIV Uncharacterized protein R802	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG06086	sp|Q5UQ65|YR652_MIMIV Uncharacterized protein R652	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG06087	sp|Q5UR58|YR804_MIMIV Uncharacterized protein R804	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG06088	sp|Q5UQI9|YR836_MIMIV Uncharacterized protein R836	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG06089	sp|Q5UPC2|YR050_MIMIV Uncharacterized protein R50	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG06090	sp|Q5UP91|YL019_MIMIV Uncharacterized protein L19	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG06093	sp|Q5UQ35|YR811_MIMIV Putative ariadne-like RING finger protein R811	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG06094	sp|Q5UR57|YL805_MIMIV Uncharacterized protein L805	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG06101	sp|Q5UPA8|YR029_MIMIV Uncharacterized protein R29	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG06111	sp|P36329|POLS_EEVV3 Structural polyprotein	Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Togaviridae
VOG06112	sp|P05674|POLS_EEVV8 Structural polyprotein	Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Togaviridae
VOG06113	sp|P05674|POLS_EEVV8 Structural polyprotein	Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Togaviridae
VOG06145	sp|P27020|MATRX_PI4HB Matrix protein	Riboviria;Orthornavirae;Negarnaviricota;Monjiviricetes;Mononegavirales;Paramyxoviridae
VOG06150	REFSEQ putative capsid protein	Monodnaviria;Shotokuvirae;Cressdnaviricota;Arfiviricetes;Cremevirales;Smacoviridae
VOG06183	sp|P03418|NCAP_HRSVA Nucleoprotein	Riboviria;Orthornavirae;Negarnaviricota;Monjiviricetes;Mononegavirales;Pneumoviridae
VOG06184	sp|P03421|PHOSP_HRSVA Phosphoprotein	Riboviria;Orthornavirae;Negarnaviricota;Monjiviricetes;Mononegavirales;Pneumoviridae
VOG06185	sp|P0DOE7|MATRX_HRSVA Matrix protein	Riboviria;Orthornavirae;Negarnaviricota;Monjiviricetes;Mononegavirales;Pneumoviridae
VOG06186	sp|O42050|M21_HRSVB Matrix M2-1	Riboviria;Orthornavirae;Negarnaviricota;Monjiviricetes;Mononegavirales;Pneumoviridae
VOG06188	sp|O72142|NCAP_EBOZ5 Nucleoprotein	Riboviria;Orthornavirae;Negarnaviricota;Monjiviricetes;Mononegavirales;Filoviridae
VOG06189	sp|Q05127|VP35_EBOZM Polymerase cofactor VP35	Riboviria;Orthornavirae;Negarnaviricota;Monjiviricetes;Mononegavirales;Filoviridae
VOG06190	sp|Q05128|VP40_EBOZM Matrix protein VP40	Riboviria;Orthornavirae;Negarnaviricota;Monjiviricetes;Mononegavirales;Filoviridae
VOG06191	sp|Q05323|VP30_EBOZM Hexameric zinc-finger protein VP30	Riboviria;Orthornavirae;Negarnaviricota;Monjiviricetes;Mononegavirales;Filoviridae
VOG06192	sp|O11459|VP24_EBOG4 Membrane-associated protein VP24	Riboviria;Orthornavirae;Negarnaviricota;Monjiviricetes;Mononegavirales;Filoviridae
VOG06197	sp|P13871|RDRP_INBAC RNA-directed RNA polymerase catalytic subunit	Riboviria;Orthornavirae;Negarnaviricota;NA;NA;NA
VOG06210	sp|O73557|Z_LASSJ RING finger protein Z	Riboviria;Orthornavirae;Negarnaviricota;Ellioviricetes;Bunyavirales;Arenaviridae
VOG06211	sp|O39830|MVP_FBNY2 Putative movement protein	Monodnaviria;Shotokuvirae;Cressdnaviricota;Arfiviricetes;Mulpavirales;Nanoviridae
VOG06212	sp|Q08JR8|U4_MDV1 Protein U4	Monodnaviria;Shotokuvirae;Cressdnaviricota;Arfiviricetes;Mulpavirales;Nanoviridae
VOG06213	sp|O91253|CLINK_FBNY2 Cell cycle link protein	Monodnaviria;Shotokuvirae;Cressdnaviricota;Arfiviricetes;Mulpavirales;Nanoviridae
VOG06214	sp|Q9Z0C9|U2_MDV1 Protein U2	Monodnaviria;Shotokuvirae;Cressdnaviricota;Arfiviricetes;Mulpavirales;Nanoviridae
VOG06215	sp|O39831|CAPSD_FBNY2 Capsid protein	Monodnaviria;Shotokuvirae;Cressdnaviricota;Arfiviricetes;Mulpavirales;Nanoviridae
VOG06216	sp|O91251|NSP_FBNY2 Putative nuclear shuttle protein	Monodnaviria;Shotokuvirae;Cressdnaviricota;Arfiviricetes;Mulpavirales;Nanoviridae
VOG06229	REFSEQ VP12	Varidnaviria;Helvetiavirae;Dividoviricota;Laserviricetes;Halopanivirales;Sphaerolipoviridae
VOG06230	REFSEQ VP7	Varidnaviria;Helvetiavirae;Dividoviricota;Laserviricetes;Halopanivirales;Sphaerolipoviridae
VOG06231	REFSEQ VP4	Varidnaviria;Helvetiavirae;Dividoviricota;Laserviricetes;Halopanivirales;Sphaerolipoviridae
VOG06233	REFSEQ capsid protein VP13	Varidnaviria;Helvetiavirae;Dividoviricota;Laserviricetes;Halopanivirales;Sphaerolipoviridae
VOG06234	REFSEQ VP2	Varidnaviria;Helvetiavirae;Dividoviricota;Laserviricetes;Halopanivirales;Sphaerolipoviridae
VOG06235	REFSEQ VP5	Varidnaviria;Helvetiavirae;Dividoviricota;Laserviricetes;Halopanivirales;Sphaerolipoviridae
VOG06236	REFSEQ capsid protein VP10	Varidnaviria;Helvetiavirae;Dividoviricota;Laserviricetes;Halopanivirales;Sphaerolipoviridae
VOG06246	sp|C1JJY1|ORF2_HAPV1 Uncharacterized protein 2	Monodnaviria;Trapavirae;Saleviricota;Huolimaviricetes;Haloruvirales;Pleolipoviridae
VOG06247	sp|C1JJY2|MATRX_HAPV1 Matrix protein	Monodnaviria;Trapavirae;Saleviricota;Huolimaviricetes;Haloruvirales;Pleolipoviridae
VOG06248	sp|C1JJY3|ENV_HAPV1 Envelope protein	Monodnaviria;Trapavirae;Saleviricota;Huolimaviricetes;Haloruvirales;Pleolipoviridae
VOG06249	sp|C1JJY6|ORF7_HAPV1 Uncharacterized protein 7	Monodnaviria;Trapavirae;Saleviricota;Huolimaviricetes;Haloruvirales;Pleolipoviridae
VOG06250	sp|C1JJY7|VP8_HAPV1 Virion protein 8	Monodnaviria;Trapavirae;Saleviricota;Huolimaviricetes;Haloruvirales;Pleolipoviridae
VOG06284	sp|P03598|CAPSD_TOBSV Capsid protein	Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Bromoviridae
VOG06818	sp|W6JIC6|CAPSD_CPBDV Capsid protein	Monodnaviria;Shotokuvirae;Cressdnaviricota;Arfiviricetes;Baphyvirales;Bacilladnaviridae
